source,go-ipfs,js-ipfs,command,Chunker,CidVer,Inlining,RawLeaves,Trickle
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin --trickle=false --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin","1","0","false","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin --trickle=true --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin","1","0","false","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-128-65535-524288 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-128-65535-524288","1","0","false","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-128-65535-524288 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-128-65535-524288","1","0","false","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262141 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-262141","1","0","false","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262141 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-262141","1","0","false","true"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262144-524288-1048576 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-262144-524288-1048576","1","0","false","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin-262144-524288-1048576 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/zero_0B.zst,"rabin-262144-524288-1048576","1","0","false","true"
../testdata/zero_0B.zst,bafkreihdwdcefgh4dqkjv67uzcmw7ojee6xedzdetojuzjevtenxquvyku,, add --chunker=rabin --trickle=false --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin","1","0","true","false"
../testdata/zero_0B.zst,bafybeif7ztnhq65lumvvtr4ekcwd2ifwgm3awq4zfr3srh462rwyinlb4y,, add --chunker=rabin --trickle=true --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin","1","0","true","true"
../testdata/zero_0B.zst,bafkreihdwdcefgh4dqkjv67uzcmw7ojee6xedzdetojuzjevtenxquvyku,, add --chunker=rabin-128-65535-524288 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/zero_0B.zst,"rabin-128-65535-524288","1","0","true","false"
